Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,4.2,0m 4.2s,-26.91155643,-49.03376134,P-GPS,0.7,0.2,0.0,0.0,0.0,0.0,0.5,0.2,-26.91155751,-49.03376056,15,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.2,0,-0.2,-75.3,284.7,1024,1024,1024,1024,1024,,,,,RTH Altitude: 30M
2,4.3,0m 4.3s,-26.91155634,-49.03376135,P-GPS,0.7,0.2,0.0,0.0,0.0,0.0,0.5,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.1,0,-0.1,-75.2,284.8,1024,1024,1024,1024,1024,,,,,
3,4.4,0m 4.4s,-26.91155635,-49.03376136,P-GPS,0.7,0.2,0.0,0.0,1.1,0.5,0.6,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.1,-0.1,0,-75.2,284.8,1024,1024,1024,1024,1091,,,,,
4,4.5,0m 4.5s,-26.91155627,-49.03376117,P-GPS,1.0,0.3,0.0,0.0,0.0,0.0,0.5,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.1,0,0,-75.1,284.9,1024,1024,1024,1024,1110,,,,,
5,4.6,0m 4.6s,-26.91155626,-49.03376121,P-GPS,1.0,0.3,0.0,0.0,0.0,0.0,0.6,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.1,0,0,-75,285,1024,1024,1024,1024,1197,,,,,
6,4.7,0m 4.7s,-26.91155616,-49.03376112,P-GPS,1.0,0.3,0.0,0.0,0.0,0.0,0.4,0.1,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.1,0,0,-74.9,285.1,1024,1024,1024,1024,1338,,,,,
7,4.8,0m 4.8s,-26.91155616,-49.03376113,P-GPS,1.3,0.4,0.0,0.0,0.0,0.0,0.4,0.1,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.1,0,-0.2,-74.8,285.2,1024,1024,1024,1024,1390,,,,,
8,4.9,0m 4.9s,-26.91155591,-49.03376108,P-GPS,1.3,0.4,0.0,0.0,0.0,0.0,0.6,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.2,-0.2,-0.4,-74.8,285.2,1024,1024,1024,1024,1382,,,,,
9,5,0m 5s,-26.91155592,-49.03376109,P-GPS,1.3,0.4,0.0,0.0,0.0,0.0,0.5,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.4,-0.2,-0.5,-74.9,285.1,1024,1024,1024,1024,1378,,,,,
10,5.1,0m 5.1s,-26.91155594,-49.03376112,P-GPS,1.6,0.5,0.0,0.0,0.0,0.0,0.6,0.2,-26.91155751,-49.03376056,16,5,48,15.097,0.06,3.738,3.779,3.782,3.798,0,0,-0.5,-0.3,-0.8,-74.9,285.1,1024,1024,1024,1024,1383,,,,,
11,5.2,0m 5.2s,-26.91155592,-49.03376111,P-GPS,1.6,0.5,0.0,0.0,0.0,0.0,0.5,0.2,-26.91155751,-49.03376056,16,5,48,15.045,0.018,3.752,3.767,3.756,3.77,0,0,-0.5,-0.3,-0.8,-74.8,285.2,1024,1024,1024,1024,1404,,,,,
12,5.4,0m 5.4s,-26.91155587,-49.03376119,P-GPS,2.0,0.6,0.0,0.0,0.0,0.0,0.7,0.2,-26.91155751,-49.03376056,16,5,48,15.045,0.018,3.752,3.767,3.756,3.77,0,0,-0.6,-0.2,-0.6,-74.7,285.3,1024,1024,1024,1024,1410,,,,,
13,5.5,0m 5.5s,-26.91155584,-49.03376119,P-GPS,2.3,0.7,0.0,0.0,0.0,0.0,0.8,0.2,-26.91155751,-49.03376056,15,5,48,15.045,0.018,3.752,3.767,3.756,3.77,0,0,-0.7,0,-0.6,-74.5,285.5,1024,1024,1024,1024,1425,,,,,
14,5.6,0m 5.6s,-26.91155586,-49.03376122,P-GPS,2.6,0.8,0.0,0.0,0.0,0.0,0.7,0.2,-26.91155751,-49.03376056,15,5,48,15.045,0.018,3.752,3.767,3.756,3.77,0,0,-0.8,0.2,-0.5,-74.5,285.5,1024,1024,1024,1024,1436,,,,,
